;appointment timestamp;center age group;center id;test type;grab timestamp
13164;2019-01-17 08:35;adult;10207;Blood Test;2019-01-15 13:40
13165;2019-01-17 08:40;adult;10207;Blood Test;2019-01-15 13:40
13166;2019-01-17 08:45;adult;10207;Blood Test;2019-01-15 13:40
13167;2019-01-17 08:50;adult;10207;Blood Test;2019-01-15 13:40
13168;2019-01-17 09:10;adult;10207;Blood Test;2019-01-15 13:40
13169;2019-01-17 09:15;adult;10207;Blood Test;2019-01-15 13:40
13170;2019-01-17 09:20;adult;10207;Blood Test;2019-01-15 13:40
13171;2019-01-17 09:40;adult;10207;Blood Test;2019-01-15 13:40
13172;2019-01-17 09:45;adult;10207;Blood Test;2019-01-15 13:40
13173;2019-01-17 09:50;adult;10207;Blood Test;2019-01-15 13:40
13174;2019-01-17 10:15;adult;10207;Blood Test;2019-01-15 13:40
13175;2019-01-17 10:20;adult;10207;Blood Test;2019-01-15 13:40
13176;2019-01-17 10:40;adult;10207;Blood Test;2019-01-15 13:40
13177;2019-01-17 10:45;adult;10207;Blood Test;2019-01-15 13:40
13178;2019-01-17 10:50;adult;10207;Blood Test;2019-01-15 13:40
13179;2019-01-17 11:05;adult;10207;Blood Test;2019-01-15 13:40
13180;2019-01-17 11:10;adult;10207;Blood Test;2019-01-15 13:40
13181;2019-01-17 11:15;adult;10207;Blood Test;2019-01-15 13:40
13182;2019-01-17 11:20;adult;10207;Blood Test;2019-01-15 13:40
13183;2019-01-17 11:25;adult;10207;Blood Test;2019-01-15 13:40
13184;2019-01-17 11:40;adult;10207;Blood Test;2019-01-15 13:40
13185;2019-01-17 11:45;adult;10207;Blood Test;2019-01-15 13:40
13186;2019-01-17 11:50;adult;10207;Blood Test;2019-01-15 13:40
13187;2019-01-17 12:00;adult;10207;Blood Test;2019-01-15 13:40
13188;2019-01-17 12:05;adult;10207;Blood Test;2019-01-15 13:40
13189;2019-01-17 12:10;adult;10207;Blood Test;2019-01-15 13:40
13190;2019-01-17 12:15;adult;10207;Blood Test;2019-01-15 13:40
13191;2019-01-17 12:20;adult;10207;Blood Test;2019-01-15 13:40
13192;2019-01-17 12:25;adult;10207;Blood Test;2019-01-15 13:40
13193;2019-01-17 12:30;adult;10207;Blood Test;2019-01-15 13:40
13194;2019-01-17 12:35;adult;10207;Blood Test;2019-01-15 13:40
13195;2019-01-17 12:40;adult;10207;Blood Test;2019-01-15 13:40
13196;2019-01-17 12:45;adult;10207;Blood Test;2019-01-15 13:40
13197;2019-01-17 12:50;adult;10207;Blood Test;2019-01-15 13:40
13198;2019-01-17 13:00;adult;10207;Blood Test;2019-01-15 13:40
13199;2019-01-17 13:05;adult;10207;Blood Test;2019-01-15 13:40
13200;2019-01-17 13:10;adult;10207;Blood Test;2019-01-15 13:40
13201;2019-01-17 13:15;adult;10207;Blood Test;2019-01-15 13:40
13202;2019-01-17 13:20;adult;10207;Blood Test;2019-01-15 13:40
13203;2019-01-17 13:25;adult;10207;Blood Test;2019-01-15 13:40
13204;2019-01-17 13:30;adult;10207;Blood Test;2019-01-15 13:40
13205;2019-01-17 13:35;adult;10207;Blood Test;2019-01-15 13:40
13206;2019-01-17 13:40;adult;10207;Blood Test;2019-01-15 13:40
13207;2019-01-17 13:45;adult;10207;Blood Test;2019-01-15 13:40
13208;2019-01-17 13:50;adult;10207;Blood Test;2019-01-15 13:40
13209;2019-01-17 14:05;adult;10207;Blood Test;2019-01-15 13:40
13210;2019-01-17 14:10;adult;10207;Blood Test;2019-01-15 13:40
13211;2019-01-17 14:15;adult;10207;Blood Test;2019-01-15 13:40
13212;2019-01-17 14:20;adult;10207;Blood Test;2019-01-15 13:40
13213;2019-01-17 14:25;adult;10207;Blood Test;2019-01-15 13:40
13214;2019-01-17 14:30;adult;10207;Blood Test;2019-01-15 13:40
13215;2019-01-17 14:35;adult;10207;Blood Test;2019-01-15 13:40
13216;2019-01-17 14:40;adult;10207;Blood Test;2019-01-15 13:40
13217;2019-01-17 14:45;adult;10207;Blood Test;2019-01-15 13:40
13218;2019-01-17 14:50;adult;10207;Blood Test;2019-01-15 13:40
13219;2019-01-17 15:10;adult;10207;Blood Test;2019-01-15 13:40
13220;2019-01-17 15:15;adult;10207;Blood Test;2019-01-15 13:40
13221;2019-01-17 15:20;adult;10207;Blood Test;2019-01-15 13:40
13222;2019-01-17 15:25;adult;10207;Blood Test;2019-01-15 13:40
13223;2019-01-17 15:40;adult;10207;Blood Test;2019-01-15 13:40
13224;2019-01-17 15:45;adult;10207;Blood Test;2019-01-15 13:40
13225;2019-01-17 15:50;adult;10207;Blood Test;2019-01-15 13:40
13226;2019-01-17 16:10;adult;10207;Blood Test;2019-01-15 13:40
13227;2019-01-17 16:15;adult;10207;Blood Test;2019-01-15 13:40
13228;2019-01-17 16:20;adult;10207;Blood Test;2019-01-15 13:40
13229;2019-01-17 16:25;adult;10207;Blood Test;2019-01-15 13:40
13230;2019-01-17 16:30;adult;10207;Blood Test;2019-01-15 13:40
13231;2019-01-17 16:35;adult;10207;Blood Test;2019-01-15 13:40
13232;2019-01-17 16:40;adult;10207;Blood Test;2019-01-15 13:40
66925;2019-01-17 08:35;adult;10207;Blood Test;2019-01-15 13:40
66926;2019-01-17 08:40;adult;10207;Blood Test;2019-01-15 13:40
66927;2019-01-17 08:45;adult;10207;Blood Test;2019-01-15 13:40
66928;2019-01-17 08:50;adult;10207;Blood Test;2019-01-15 13:40
66929;2019-01-17 09:10;adult;10207;Blood Test;2019-01-15 13:40
66930;2019-01-17 09:15;adult;10207;Blood Test;2019-01-15 13:40
66931;2019-01-17 09:20;adult;10207;Blood Test;2019-01-15 13:40
66932;2019-01-17 09:40;adult;10207;Blood Test;2019-01-15 13:40
66933;2019-01-17 09:45;adult;10207;Blood Test;2019-01-15 13:40
66934;2019-01-17 09:50;adult;10207;Blood Test;2019-01-15 13:40
66935;2019-01-17 10:15;adult;10207;Blood Test;2019-01-15 13:40
